RowID,OrderID,ProductID,Sales,Quantity,Profit
36624,CA-2011-130813,OFF-PA-10002005,19,3,9
37033,CA-2011-148614,OFF-PA-10002893,19,2,9
31468,CA-2011-118962,OFF-PA-10000659,21,3,10
31469,CA-2011-118962,OFF-PA-10001144,111,2,53
32440,CA-2011-146969,OFF-PA-10002105,6,1,3
32890,CA-2011-117317,OFF-PA-10004519,13,3,7
35608,CA-2011-125829,OFF-PA-10000223,19,3,9
33709,CA-2011-151295,OFF-PA-10001947,12,2,6
35267,CA-2011-135090,OFF-PA-10002245,54,9,24
38866,CA-2011-133830,OFF-PA-10001363,49,4,23
33788,CA-2011-113579,OFF-PA-10001457,90,6,42
33544,CA-2012-116092,OFF-PA-10004285,13,2,6
33548,CA-2012-116092,OFF-PA-10000477,19,3,9
39431,CA-2012-121776,OFF-PA-10001970,37,3,17
31990,CA-2012-131534,OFF-PA-10000743,33,5,16
38758,US-2012-136987,OFF-PA-10003127,53,2,24
35746,CA-2012-121965,OFF-PA-10004355,6,1,3
32057,CA-2012-112319,OFF-PA-10003441,58,9,28
36102,CA-2012-137708,OFF-PA-10000176,38,2,18
36103,CA-2012-137708,OFF-PA-10000327,43,10,19
33074,CA-2012-105347,OFF-PA-10000675,369,9,181
35414,CA-2012-153416,OFF-PA-10002005,19,3,9
31361,CA-2012-135545,OFF-PA-10003892,147,3,69
39966,CA-2012-158918,OFF-PA-10004947,17,4,8
37305,CA-2012-135580,OFF-PA-10000595,69,3,32
39776,US-2013-119270,OFF-PA-10004022,20,2,9
38455,CA-2013-131380,OFF-PA-10001243,6,1,3
32200,CA-2013-130477,OFF-PA-10002947,20,3,10
32202,CA-2013-130477,OFF-PA-10000019,13,2,6
38657,CA-2013-163594,OFF-PA-10000809,19,3,9
32905,US-2013-115819,OFF-PA-10002377,23,4,10
36111,CA-2013-111696,OFF-PA-10002751,18,3,8
31457,CA-2013-162733,OFF-PA-10002751,6,1,3
35241,CA-2013-133144,OFF-PA-10004971,17,3,8
39165,CA-2013-136994,OFF-PA-10000575,13,2,6
34718,CA-2013-134803,OFF-PA-10003790,183,8,84
31855,CA-2013-113243,OFF-PA-10003441,32,5,16
35475,CA-2013-148593,OFF-PA-10001776,46,5,22
37914,CA-2013-123512,OFF-PA-10001497,220,4,108
34861,CA-2013-130029,OFF-PA-10000552,13,2,6
35281,CA-2013-135265,OFF-PA-10002923,49,1,24
36676,CA-2013-136021,OFF-PA-10000551,16,3,8
40194,CA-2013-167241,OFF-PA-10004911,38,4,18
32979,US-2013-101497,OFF-PA-10000176,19,1,9
36300,CA-2013-155033,OFF-PA-10000143,11,2,5
36803,US-2013-162026,OFF-PA-10000167,62,2,28
35783,CA-2013-109365,OFF-PA-10004359,315,3,151
35780,CA-2013-109365,OFF-PA-10001725,116,3,57
35782,CA-2013-109365,OFF-PA-10000477,19,3,9
36338,CA-2013-158694,OFF-PA-10002421,68,3,33
36341,CA-2013-158694,OFF-PA-10001363,61,5,29
38276,CA-2014-149076,OFF-PA-10000483,155,5,70
33379,CA-2014-104647,OFF-PA-10002870,37,6,17
38154,CA-2014-128965,OFF-PA-10004911,28,3,14
38184,CA-2014-120222,OFF-PA-10004675,19,3,9
38689,CA-2014-147844,OFF-PA-10003016,16,5,7
38691,CA-2014-147844,OFF-PA-10002713,34,5,16
32865,US-2014-152002,OFF-PA-10000357,123,3,60
35793,CA-2014-112753,OFF-PA-10002036,39,6,19
39414,US-2014-113201,OFF-PA-10000675,205,5,100
40527,CA-2014-133718,OFF-PA-10002689,58,9,28
39039,CA-2014-105326,OFF-PA-10001639,26,4,12
36877,CA-2014-137498,OFF-PA-10000143,48,9,23
36521,US-2014-109582,OFF-PA-10004071,166,3,80
40620,CA-2014-121853,OFF-PA-10003641,211,8,97
36555,US-2014-115595,OFF-PA-10001745,35,5,17
34133,CA-2014-110842,OFF-PA-10000520,19,3,9
40935,US-2014-125808,OFF-PA-10001846,12,2,6
34853,CA-2014-118542,OFF-PA-10004735,45,7,22
34184,CA-2014-102099,OFF-PA-10003172,13,2,6
34185,CA-2014-102099,OFF-PA-10000289,32,5,16
39800,CA-2011-164903,OFF-PA-10003363,13,2,6
37315,CA-2011-102652,OFF-PA-10001977,55,1,27
37314,CA-2011-102652,OFF-PA-10003309,19,3,9
36652,CA-2011-113768,OFF-PA-10003063,8,2,4
34943,CA-2011-146528,OFF-PA-10002195,6,1,3
37242,CA-2011-104178,OFF-PA-10004983,26,4,12
33359,CA-2011-106439,OFF-PA-10000477,65,13,30
37193,CA-2011-168305,OFF-PA-10004947,21,5,10
37260,CA-2011-140732,OFF-PA-10003625,124,4,56
35831,CA-2012-163104,OFF-PA-10001947,12,2,6
40176,US-2012-107944,OFF-PA-10000659,193,11,93
39263,CA-2012-138219,OFF-PA-10000380,33,4,17
36017,CA-2012-142601,OFF-PA-10000483,62,2,28
40347,CA-2012-165554,OFF-PA-10003724,11,2,5
40861,CA-2012-161242,OFF-PA-10001838,12,2,6
32312,CA-2012-133025,OFF-PA-10004100,32,5,16
37465,CA-2012-132815,OFF-PA-10004530,23,2,11
33985,CA-2012-153220,OFF-PA-10003016,16,5,7
35635,CA-2012-125234,OFF-PA-10000482,114,3,53
41250,CA-2012-141593,OFF-PA-10004983,6,1,3
39150,CA-2012-144890,OFF-PA-10001526,10,2,5
36296,CA-2013-129238,OFF-PA-10002764,57,5,28
39700,CA-2013-154067,OFF-PA-10002254,106,4,49
32017,CA-2013-112942,OFF-PA-10004092,147,3,73
37310,CA-2013-159016,OFF-PA-10004405,15,5,7
38143,US-2013-159093,OFF-PA-10001260,32,4,14
38363,CA-2013-147473,OFF-PA-10004782,39,6,19
40417,US-2013-155971,OFF-PA-10000210,100,5,47
39985,CA-2013-144015,OFF-PA-10002870,12,2,6
38167,US-2013-126452,OFF-PA-10002606,48,9,21
38166,US-2013-126452,OFF-PA-10003848,13,2,6
31388,CA-2013-109806,OFF-PA-10000304,6,1,3
33628,CA-2013-155187,OFF-PA-10000380,42,5,21
38071,CA-2013-119018,OFF-PA-10000295,39,6,19
40512,CA-2013-152646,OFF-PA-10004451,32,5,16
41272,US-2013-103674,OFF-PA-10000743,13,2,6
32611,CA-2013-145919,OFF-PA-10003072,39,6,19
33103,US-2013-116729,OFF-PA-10002005,45,7,22
32488,CA-2014-117212,OFF-PA-10001970,224,4,110
32489,CA-2014-117212,OFF-PA-10000682,23,4,11
36514,CA-2014-134635,OFF-PA-10002254,79,3,36
40107,CA-2014-120614,OFF-PA-10004911,38,4,18
37422,CA-2014-145772,OFF-PA-10001593,12,2,5
35008,CA-2014-113670,OFF-PA-10000675,205,5,100
33647,CA-2014-109701,OFF-PA-10003724,11,2,5
39687,CA-2014-153227,OFF-PA-10001838,12,2,6
37848,CA-2014-161578,OFF-PA-10002986,13,2,6
40135,CA-2011-153808,OFF-AR-10001725,71,3,18
34831,CA-2011-110849,OFF-AR-10000657,11,5,4
34830,CA-2011-110849,OFF-AR-10002375,13,4,4
38493,CA-2011-116785,OFF-AR-10003504,21,5,6
35707,US-2011-154879,OFF-AR-10001897,108,6,30
31303,CA-2011-115812,OFF-AR-10002833,7,4,2
33152,CA-2011-114643,OFF-AR-10003631,15,3,5
34444,CA-2011-109218,OFF-AR-10001374,32,5,10
