OrderID,CustomerID,LocationID,OrderDate,ShipDate,ShipMode,OrderPriority
CA-2011-130813,LS-172304,1,2011-01-07,2011-01-09,Second Class,High
CA-2011-148614,MV-174854,1,2011-01-21,2011-01-26,Standard Class,Medium
CA-2011-118962,CS-121304,1,2011-08-05,2011-08-09,Standard Class,Medium
CA-2011-146969,AP-109154,1,2011-09-29,2011-10-03,Standard Class,High
CA-2011-117317,JF-154904,1,2011-10-19,2011-10-19,Same Day,Critical
CA-2011-125829,WB-218504,1,2011-11-04,2011-11-11,Standard Class,Medium
CA-2011-151295,JA-159704,1,2011-11-12,2011-11-16,Standard Class,High
CA-2011-135090,SP-209204,1,2011-11-22,2011-11-26,Standard Class,High
CA-2011-133830,RL-196154,1,2011-12-05,2011-12-10,Standard Class,Medium
CA-2011-113579,KD-163454,1,2011-12-13,2011-12-15,Second Class,High
CA-2012-116092,JM-161954,1,2012-02-15,2012-02-18,Second Class,Medium
CA-2012-121776,RD-195854,1,2012-02-16,2012-02-21,Standard Class,High
CA-2012-131534,AB-101654,1,2012-03-28,2012-04-02,Standard Class,Medium
US-2012-136987,AR-105404,1,2012-04-11,2012-04-14,Second Class,Medium
CA-2012-121965,LH-171554,1,2012-06-19,2012-06-23,Standard Class,Medium
CA-2012-112319,AR-105104,1,2012-08-31,2012-09-05,Standard Class,High
CA-2012-137708,NG-184304,1,2012-11-22,2012-11-25,Second Class,High
CA-2012-105347,DP-130004,1,2012-11-24,2012-11-28,Standard Class,Medium
CA-2012-153416,TS-213404,1,2012-11-24,2012-11-29,Standard Class,Medium
CA-2012-135545,KM-167204,1,2012-11-24,2012-11-30,Standard Class,Medium
CA-2012-158918,AI-108554,1,2012-12-20,2012-12-25,Second Class,Medium
CA-2012-135580,CL-125654,1,2012-12-30,2013-01-03,Standard Class,Medium
US-2013-119270,SW-202454,1,2013-03-13,2013-03-17,Standard Class,Medium
CA-2013-131380,CC-122204,1,2013-03-29,2013-04-01,Second Class,Critical
CA-2013-130477,LC-171404,1,2013-04-09,2013-04-13,Standard Class,High
CA-2013-163594,JF-152954,1,2013-04-13,2013-04-15,First Class,Medium
US-2013-115819,JO-152804,1,2013-04-20,2013-04-25,Second Class,Medium
CA-2013-111696,TB-216254,1,2013-05-09,2013-05-11,First Class,High
CA-2013-162733,TT-210704,1,2013-05-12,2013-05-13,First Class,Medium
CA-2013-133144,DO-134354,1,2013-05-17,2013-05-22,Second Class,Medium
CA-2013-136994,LS-172454,1,2013-05-28,2013-06-03,Standard Class,Medium
CA-2013-134803,CL-125654,1,2013-05-29,2013-06-04,Standard Class,Low
CA-2013-113243,OT-187304,1,2013-06-11,2013-06-16,Standard Class,Medium
CA-2013-148593,BD-113204,1,2013-06-17,2013-06-19,Second Class,Medium
CA-2013-123512,MV-181904,1,2013-06-18,2013-06-20,First Class,Critical
CA-2013-130029,GT-147554,1,2013-07-04,2013-07-07,First Class,High
CA-2013-135265,CC-123704,1,2013-07-08,2013-07-10,Second Class,Critical
CA-2013-136021,JM-155804,1,2013-08-15,2013-08-19,Standard Class,High
CA-2013-167241,BD-113204,1,2013-08-16,2013-08-23,Standard Class,Low
US-2013-101497,PS-187604,1,2013-09-30,2013-10-02,Second Class,High
CA-2013-155033,CC-124754,1,2013-10-08,2013-10-13,Standard Class,High
US-2013-162026,JE-157454,1,2013-10-09,2013-10-09,Same Day,Critical
CA-2013-109365,XP-218654,1,2013-11-04,2013-11-09,Standard Class,Medium
CA-2013-158694,AI-108554,1,2013-11-11,2013-11-14,Second Class,High
CA-2014-149076,SO-203354,1,2014-01-15,2014-01-20,Standard Class,Medium
CA-2014-104647,CK-125954,1,2014-02-24,2014-03-02,Standard Class,Medium
CA-2014-128965,PS-187604,1,2014-04-18,2014-04-23,Standard Class,Medium
CA-2014-120222,LL-168404,1,2014-04-26,2014-05-03,Standard Class,Medium
CA-2014-147844,DD-135704,1,2014-05-03,2014-05-07,Standard Class,Medium
US-2014-152002,DV-134654,1,2014-06-12,2014-06-12,Same Day,Medium
CA-2014-112753,CC-126704,1,2014-06-19,2014-06-24,Standard Class,High
US-2014-113201,TT-212204,1,2014-07-01,2014-07-06,Standard Class,Medium
CA-2014-133718,TB-215204,1,2014-07-24,2014-07-27,First Class,Critical
CA-2014-105326,KT-164804,1,2014-08-21,2014-08-28,Standard Class,Medium
CA-2014-137498,LC-170504,1,2014-09-10,2014-09-15,Second Class,Medium
US-2014-109582,JM-158654,1,2014-09-13,2014-09-18,Second Class,Medium
CA-2014-121853,DB-136604,1,2014-09-24,2014-09-30,Standard Class,Medium
US-2014-115595,XP-218654,1,2014-10-10,2014-10-12,First Class,Medium
CA-2014-110842,GA-147254,1,2014-11-12,2014-11-17,Standard Class,Medium
US-2014-125808,EP-139154,1,2014-11-13,2014-11-16,Second Class,High
CA-2014-118542,CC-125504,1,2014-12-02,2014-12-06,Standard Class,Medium
CA-2014-102099,EP-139154,1,2014-12-19,2014-12-20,First Class,Medium
CA-2011-164903,SR-207404,1,2011-02-21,2011-02-25,Standard Class,High
CA-2011-102652,AY-105554,1,2011-04-06,2011-04-12,Standard Class,Medium
CA-2011-113768,AH-100304,1,2011-05-13,2011-05-19,Standard Class,Medium
CA-2011-146528,VF-217154,1,2011-07-25,2011-07-27,Second Class,High
CA-2011-104178,JM-152654,1,2011-08-25,2011-08-29,Standard Class,High
CA-2011-106439,GG-146504,1,2011-10-31,2011-11-04,Standard Class,High
CA-2011-168305,PL-189254,1,2011-11-01,2011-11-08,Standard Class,Medium
CA-2011-140732,MA-175604,1,2011-11-11,2011-11-13,Second Class,High
CA-2012-163104,MC-181304,1,2012-03-19,2012-03-26,Standard Class,Medium
US-2012-107944,AM-103604,1,2012-03-23,2012-03-25,First Class,High
CA-2012-138219,BP-110954,1,2012-03-23,2012-03-30,Standard Class,Medium
CA-2012-142601,DE-132554,1,2012-04-18,2012-04-20,Second Class,Medium
CA-2012-165554,AJ-107804,1,2012-05-18,2012-05-22,Standard Class,Medium
CA-2012-161242,CG-120404,1,2012-06-01,2012-06-08,Standard Class,Medium
CA-2012-133025,MO-178004,1,2012-09-17,2012-09-19,Second Class,Critical
CA-2012-132815,RW-195404,1,2012-09-19,2012-09-22,Second Class,High
CA-2012-153220,YC-218954,1,2012-11-12,2012-11-14,First Class,High
CA-2012-125234,SN-207104,1,2012-11-27,2012-12-01,Standard Class,Medium
CA-2012-141593,DB-129703,1,2012-12-14,2012-12-16,Second Class,High
CA-2012-144890,SM-203204,1,2012-12-25,2012-12-29,Standard Class,Medium
CA-2013-129238,SC-200504,1,2013-01-31,2013-02-04,Standard Class,Medium
CA-2013-154067,SM-209504,1,2013-02-01,2013-02-07,Standard Class,Medium
CA-2013-112942,RD-198104,1,2013-02-13,2013-02-18,Standard Class,Medium
CA-2013-159016,KF-162854,1,2013-03-11,2013-03-12,First Class,High
US-2013-159093,RS-194204,1,2013-05-10,2013-05-15,Standard Class,Medium
CA-2013-147473,NL-183104,1,2013-05-31,2013-06-04,Standard Class,Medium
US-2013-155971,RB-197954,1,2013-06-07,2013-06-13,Standard Class,Medium
CA-2013-144015,AH-100754,1,2013-06-27,2013-06-27,Same Day,Critical
US-2013-126452,SC-202304,1,2013-08-22,2013-08-29,Standard Class,Low
CA-2013-109806,JS-156854,1,2013-09-18,2013-09-23,Standard Class,Medium
CA-2013-155187,LA-167804,1,2013-09-25,2013-09-27,Second Class,Medium
CA-2013-119018,CW-119054,1,2013-11-05,2013-11-09,Standard Class,High
CA-2013-152646,TH-212354,1,2013-11-22,2013-11-27,Standard Class,Medium
US-2013-103674,AP-107204,1,2013-12-07,2013-12-11,Standard Class,Medium
CA-2013-145919,HG-149654,1,2013-12-19,2013-12-24,Standard Class,High
