IncidentID,OrderID,CustomerID,IncidentDate,IncidentType,Priority,Status,ResolutionDate,Channel
1,CA-2011-140886,KW-165704,2011-10-07,Damaged product,Low,Closed,2011-10-24,Email
2,CA-2013-149195,DM-135254,2013-09-14,Customer complaint,Low,Resolved,2013-09-20,Email
3,US-2012-110268,CD-119803,2012-07-30,Return request,Medium,Resolved,2012-08-13,Phone
4,BU-2013-7380,MH-74552,2013-02-03,Billing issue,Low,Resolved,2013-02-21,Web
5,UP-2014-1170,JA-59702,2014-05-02,Delayed shipment,Medium,Open,,Web
6,CA-2013-118689,TC-209804,2013-10-08,Delayed shipment,Medium,Closed,2013-10-14,Email
7,MX-2011-147025,AB-101503,2011-07-18,Delayed shipment,High,Resolved,2011-07-28,Email
8,US-2014-100048,RS-197654,2014-05-21,Return request,Low,Resolved,2014-06-08,Email
9,IT-2013-3779238,MA-175602,2013-02-09,Billing issue,Low,Resolved,2013-02-18,Email
10,NI-2014-6020,EL-37351,2014-12-16,Return request,Low,Resolved,2014-12-24,Web
11,MO-2014-7020,AG-3301,2015-01-10,Delayed shipment,Medium,Open,,Email
12,ES-2014-5249912,SD-204852,2014-12-26,Customer complaint,Medium,Resolved,2015-01-05,Phone
13,IN-2012-61785,RH-196001,2012-11-08,Return request,Low,In Progress,,Email
14,CA-2012-129700,LA-167804,2012-05-09,Delayed shipment,High,Resolved,2012-05-26,Chat
15,IN-2011-77892,HL-150401,2011-04-09,Delayed shipment,Low,Closed,2011-04-15,Phone
16,CA-2014-148166,NK-184904,2014-11-04,Delayed shipment,Medium,Closed,2014-11-18,Email
17,TU-2011-2990,AJ-9602,2011-04-29,Damaged product,Medium,Resolved,2011-05-05,Phone
18,PL-2011-7440,LE-68101,2011-08-29,Wrong item,High,Resolved,2011-09-05,Web
19,ES-2013-3735964,NP-186852,2013-06-26,Damaged product,Medium,Open,,Chat
20,EG-2014-9300,BD-16201,2014-05-30,Delayed shipment,High,Resolved,2014-06-11,Email
21,IN-2014-24419,TC-214751,2014-11-09,Billing issue,Low,In Progress,,Chat
22,NI-2014-9270,CM-21901,2014-02-18,Delayed shipment,High,Resolved,2014-02-21,Chat
23,ES-2013-4636934,CW-119052,2013-10-05,Delayed shipment,Low,In Progress,,Chat
24,NI-2013-2720,JG-51601,2013-11-26,Damaged product,High,Open,,Phone
25,CA-2014-161046,CB-125354,2014-03-13,Wrong item,Medium,Resolved,2014-03-27,Phone
26,TU-2013-7300,NC-83403,2013-07-09,Return request,High,Open,,Phone
27,ES-2014-3413493,ML-182652,2014-07-10,Delayed shipment,Medium,Resolved,2014-07-29,Web
28,IN-2012-49500,KN-163901,2012-05-14,Wrong item,Medium,In Progress,,Phone
29,ES-2013-4582003,YC-218952,2013-04-19,Billing issue,Medium,Open,,Web
30,ES-2012-5100288,GR-145602,2012-01-15,Delayed shipment,Medium,Resolved,2012-01-31,Phone
31,SU-2014-1870,CA-22651,2014-08-25,Billing issue,Low,Open,,Web
32,CA-2013-150077,MS-173654,2013-02-14,Delayed shipment,Low,In Progress,,Web
33,MX-2014-135048,MG-182053,2014-11-23,Delayed shipment,Low,Resolved,2014-11-30,Email
34,CA-2011-167997,CA-119654,2011-02-08,Customer complaint,Low,Open,,Web
35,MX-2014-148348,JR-156703,2014-05-24,Customer complaint,High,Closed,2014-06-01,Phone
36,IN-2014-23124,AJ-107801,2014-09-08,Return request,Low,Open,,Web
37,ID-2011-62114,SC-200201,2011-03-30,Damaged product,Critical,In Progress,,Phone
38,IN-2013-67966,PG-188201,2013-01-11,Delayed shipment,Low,Resolved,2013-01-29,Email
39,SO-2013-7740,ME-77251,2013-04-22,Billing issue,Low,In Progress,,Chat
40,ES-2012-4250639,DP-131652,2012-03-31,Damaged product,High,Open,,Email
41,SU-2011-3310,CS-24601,2011-08-13,Delayed shipment,Medium,Resolved,2011-08-26,Web
42,ES-2013-2335535,AB-102552,2013-08-17,Wrong item,Medium,In Progress,,Phone
43,CA-2014-110429,DM-130154,2014-11-10,Delayed shipment,Medium,Closed,2014-11-19,Phone
44,US-2014-151841,SW-204553,2014-03-28,Customer complaint,Medium,In Progress,,Email
45,ID-2014-25385,KA-165251,2014-12-08,Delayed shipment,Low,Resolved,2014-12-18,Phone
46,MX-2014-108469,EK-137953,2014-06-07,Billing issue,Critical,Closed,2014-06-16,Email
47,MX-2014-131968,AW-109303,2014-11-14,Damaged product,Critical,Resolved,2014-11-29,Email
